Grant #,Applicant Name,Account Status,FIPS #,County,Classification,PR
4486,"1100 MEDICAL ARTS PLAZA, LLC",Closed,086-UHGJY-00,Statewide,Other,Collin Kenline
1539,2-1-1 Brevard Inc.,Closed,000-UI1MG-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4283,2-1-1 Brevard Inc.,Closed,009-UOQA8-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4337,2-1-1 Brevard Inc.,Closed,000-UI1MG-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4486,2-1-1 Brevard Inc.,Closed,000-UI1MG-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
3622,4MyCiTy,Opening,,Statewide,Other,Hamza Sattar
4673,A Man Apart Inc,Closed,127-U5JX3-00,Volusia,Non-Critical Private Non-Profit,Hamza Sattar
4834,4MyCiTy,Opening,086-UMWY7-00,Statewide,Other,Hamza Sattar
4680,A Man Apart Inc,Opening,127-U5JX3-00,Volusia,Non-Critical Private Non-Profit,Hamza Sattar
4486,A New Start: Financial & Social Services Inc.,Opening,011-UE0WW-00,Statewide,Other,Rachel Langston
4673,"A Piece To Our Puzzle, Inc",Active,071-UUTC5-00,Lee,Non-Critical Private Non-Profit,John Hayth
4486,A2 EXPRESS INC,Closed,011-UQOQB-00,Statewide,Other,Rachel Langston
1539,"Abuse Counseling and Treatment, Inc.",Closed,071-UDI7J-00,Lee,Non-Critical Private Non-Profit,Haley Beary
4486,Academy of Ability,Active,095-UF3JL-00,Orange,Critical Private Non-Profit,Hamza Sattar
4399,ACME Lodge #222,Closed,005-UHL3H-00,Bay,Non-Critical Private Non-Profit,Ashley Mitchell
4486,AHEPA 296 Senior Apartments,Closed,033-UP7JY-00,Escambia,Other,Ashley Mitchell
4337,"Achievement Academy, Inc",Closed,105-UL0S4-00,Polk,Critical Private Non-Profit,Ashley Mitchell
1539,Act Corporation,Closed,127-UKWJ9-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
1545,Act Corporation,Closed,127-UKWJ9-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
1561,Act Corporation,Closed,127-UKWJ9-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
4337,"Advantage Academy of Miami, Inc.",Active,086-UPBVJ-00,Miami-Dade,Critical Private Non-Profit,John Hayth
4734,Advent Christian Village,Opening,121-UHMF3-00,Suwannee,Other,Haley Beary
1539,AdventHealth Orlando,Closed,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
3615,Advantage Village Academy,Opening,103-UT6KO-00,Pinellas,Other,John Hayth
1545,AdventHealth Orlando,Closed,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
4828,Advantage Village Academy,Opening,103-UT6KO-00,Pinellas,Other,John Hayth
1561,AdventHealth Orlando,Closed,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
4337,AdventHealth Orlando,Active,000-UTKER-00,Orange,Critical Private Non-Profit,Hamza Sattar
4828,Advent Christian Village,Opening,121-UHMF3-00,Suwannee,Other,Haley Beary
1539,"Adventist Care Centers, Inc",Closed,095-UX4UG-00,Orange,Other,Haley Beary
4806,Advent Christian Village,Opening,121-UHMF3-00,Suwannee,Other,Haley Beary
4564,Alger-Sullivan Historical Society,Closed,033-U4GB1-00,Escambia,Non-Critical Private Non-Profit,Ashley Mitchell
1551,"Alternative Living, Inc dba Crestview Manor",Closed,091-UZWGI-00,Okaloosa,Other,Ashley Mitchell
4177,"Alternative Living, Inc dba Crestview Manor",Closed,091-UZWGI-00,Okaloosa,Other,Ashley Mitchell
4399,"Anchorage Children's Home of Bay County, Inc.",Closed,005-UHTD1-00,Bay,Other,Ashley Mitchell
1551,"ARC Gateway, Inc.",Closed,033-UXLAQ-00,Escambia,Non-Critical Private Non-Profit,Ashley Mitchell
1595,"ARC Gateway, Inc.",Closed,033-UXLAQ-00,Escambia,Non-Critical Private Non-Profit,Ashley Mitchell
1539,"Adventist Health System/Sunbelt, Inc.",Closed,055-UDVVT-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
1595,Bagdad Village Preservation Association,Closed,113-UZLZS-00,Santa Rosa,Non-Critical Private Non-Profit,Ashley Mitchell
1545,"Adventist Health System/Sunbelt, Inc.",Closed,055-UDVVT-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
4399,Bay County Chamber of Commerce,Closed,005-1338C-00,Bay,Critical Private Non-Profit,Ashley Mitchell
1561,"Adventist Health System/Sunbelt, Inc.",Closed,055-UDVVT-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
4399,"Bay County Conservancy, Inc",Closed,005-U2FK7-00,Bay,Non-Critical Private Non-Profit,Ashley Mitchell
1609,"Adventist Health System/Sunbelt, Inc.",Closed,055-UDVVT-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
4399,Bay Haven Charter Academy,Active,005-UAPVM-00,Bay,Critical Private Non-Profit,Ashley Mitchell
1545,"Adventist Health System/Sunbelt, Inc./Wauchula",Closed,049-U24OE-00,Hardee,Critical Private Non-Profit,Ashley Mitchell
4486,Bay Haven Charter Academy,Closed,005-UAPVM-00,Bay,Critical Private Non-Profit,Ashley Mitchell
1561,"Adventist Health System/Sunbelt, Inc./Wauchula",Closed,049-U24OE-00,Hardee,Critical Private Non-Profit,Ashley Mitchell
1551,Bayshore Housing Corporation,Closed,091-U2G65-00,Okaloosa,Other,Ashley Mitchell
1609,"Adventist Health System/Sunbelt, Inc./Wauchula",Closed,049-U24OE-00,Hardee,Critical Private Non-Profit,Ashley Mitchell
1595,Bayshore Housing Corporation,Closed,091-U2G65-00,Okaloosa,Other,Ashley Mitchell
1539,"Adventists Health System/Sunbelt, Inc./Lake Placid",Closed,055-UTT37-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
1545,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
1545,"Adventists Health System/Sunbelt, Inc./Lake Placid",Closed,055-UTT37-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
1551,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
1561,"Adventists Health System/Sunbelt, Inc./Lake Placid",Closed,055-UTT37-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
1561,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
1609,"Adventists Health System/Sunbelt, Inc./Lake Placid",Closed,055-UTT37-00,Highlands,Critical Private Non-Profit,Ashley Mitchell
1595,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4283,"Aegis Community Management Solutions, Inc",Closed,,Flagler,Non-Critical Private Non-Profit,Ashley Mitchell
1609,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4673,Affordable Homeownership Foundation Inc,Closed,071-U1M9U-00,Lee,PNP-Home Owners Association,Ashley Mitchell
3220,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
3551,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4337,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4399,Agency for Health Care Administration,Active,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4468,Agency for Health Care Administration,Active,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4486,Agency for Health Care Administration,Active,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4564,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4673,Agency for Health Care Administration,Active,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4680,Agency for Health Care Administration,Closed,000-UWXKT-00,Statewide,State Agency,Collin Kenline
4734,Agency for Health Care Administration,Opening,000-UWXKT-00,Statewide,State Agency,Collin Kenline
1595,Agency for Persons with Disabilities,Closed,000-ULKK0-00,Statewide,State Agency,Collin Kenline
1609,Agency for Persons with Disabilities,Closed,000-ULKK0-00,Statewide,State Agency,Collin Kenline
3220,Agency for Persons with Disabilities,Opening,000-ULKK0-00,Statewide,State Agency,Collin Kenline
3259,Agency for Persons with Disabilities,Closed,000-ULKK0-00,Statewide,State Agency,Collin Kenline
4337,Agency for Persons with Disabilities,Active,000-ULKK0-00,Statewide,State Agency,Collin Kenline
4399,Agency for Persons with Disabilities,Active,000-ULKK0-00,Statewide,State Agency,Collin Kenline
4486,Agency for Persons with Disabilities,Active,000-ULKK0-00,Statewide,State Agency,Collin Kenline
4399,Agency for State Technology,Closed,000-UVA2V-00,Leon,State Agency,Collin Kenline
4486,AHEPA 18 Senior Apartments,Closed,099-UEIAX-00,Palm Beach,Other,Rachel Langston
4399,Bella Group-Whispering Palms Apartments,Closed,005-UOQKN-00,Bay,Non-Critical Private Non-Profit,Ashley Mitchell
4486,AHEPA 410 Senior Apartments,Closed,127-UF1DA-00,Volusia,Other,Haley Beary
1609,Aid to Victims of Domestic Abuse,Closed,099-UVY6A-00,Palm Beach,Other,Rachel Langston
1551,"Alabama Electric Cooperative, Inc.",Closed,033-UPK7H-00,Escambia,Other,John Hayth
1595,"Alabama Electric Cooperative, Inc.",Closed,033-UPK7H-00,Escambia,Other,John Hayth
4486,Alachua County Coalition for the Homeless and Hungry,Active,001-USIJ5-00,Alachua,Non-Critical Private Non-Profit,Haley Beary
1539,Alachua County Library District,Closed,001-ULCUU-00,Alachua,Special District Government,John Hayth
1545,Alachua County Library District,Closed,001-ULCUU-00,Alachua,Special District Government,John Hayth
1561,Alachua County Library District,Closed,001-ULCUU-00,Alachua,Special District Government,John Hayth
1785,Alachua County Library District,Closed,001-ULCUU-00,Alachua,Special District Government,John Hayth
1545,Alachua County Sheriff's Office,Closed,001-131D3-00,Alachua,County Sheriff,Rachel Langston
1785,Alachua County Sheriff's Office,Closed,001-131D3-00,Alachua,County Sheriff,Rachel Langston
3561,Alachua County Sheriff's Office,Closed,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4280,Alachua County Sheriff's Office,Closed,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4337,Alachua County Sheriff's Office,Active,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4486,Alachua County Sheriff's Office,Active,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4673,Alachua County Sheriff's Office,Active,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4734,Alachua County Sheriff's Office,Opening,001-131D3-00,Alachua,County Sheriff,Rachel Langston
1551,Blackwater Housing Corporation,Closed,113-U47XR-00,Santa Rosa,Non-Critical Private Non-Profit,Ashley Mitchell
1595,Blackwater Housing Corporation,Closed,113-U47XR-00,Santa Rosa,Non-Critical Private Non-Profit,Ashley Mitchell
1551,Bonifay Public Works,Closed,059-UIW9L-00,Holmes,Other,Ashley Mitchell
1551,"Bratt-Davisville Water System, Inc.",Closed,033-12AE5-00,Escambia,Critical Private Non-Profit,Ashley Mitchell
4486,Brownsville Assembly of God,Active,033-UIBSS-00,Escambia,Other,Ashley Mitchell
1539,Albin Polasek Museum & Sculpture Gardens,Closed,095-UQJG6-00,Orange,Non-Critical Private Non-Profit,Haley Beary
1551,Byrneville Elementary School,Closed,033-12885-00,Escambia,Other,Ashley Mitchell
1595,Carmel Assembly of God Church,Closed,059-U4SGH-00,Holmes,Other,Ashley Mitchell
4399,Chautauqua Charter School,Active,005-UBT50-00,Bay,Other,Ashley Mitchell
1551,"Childrens Home Community Center, Inc.",Closed,131-UQ0RY-00,Walton,Other,Ashley Mitchell
3605,Alachua County Sheriff's Office,Opening,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4399,Chipley Housing Authority,Closed,133-U6J88-00,Washington,Special District Government,Ashley Mitchell
4806,Alachua County Sheriff's Office,Opening,001-131D3-00,Alachua,County Sheriff,Rachel Langston
1551,"Cinco Bayou, Town of",Closed,091-12325-00,Okaloosa,City,Ashley Mitchell
4828,Alachua County Sheriff's Office,Opening,001-131D3-00,Alachua,County Sheriff,Rachel Langston
1595,"Cinco Bayou, Town of",Closed,091-12325-00,Okaloosa,City,Ashley Mitchell
4834,Alachua County Sheriff's Office,Opening,001-131D3-00,Alachua,County Sheriff,Rachel Langston
4177,"Cinco Bayou, Town of",Closed,091-12325-00,Okaloosa,City,Ashley Mitchell
1539,"Alachua, City of",Closed,001-00375-00,Alachua,City,Ashley Mitchell
1545,"Alachua, City of",Closed,001-00375-00,Alachua,City,Ashley Mitchell
1561,"Alachua, City of",Closed,001-00375-00,Alachua,City,Ashley Mitchell
4673,All Souls Catholic School,Closed,117-013BC-00,Seminole,Non-Critical Private Non-Profit,Haley Beary
1785,"Alachua, City of",Closed,001-00375-00,Alachua,City,Ashley Mitchell
4399,"Allen Chapel AME Church, Lynn Haven",Closed,005-U8YL3-00,Bay,House of Worship,John Hayth
4337,"Alachua, City of",Active,001-00375-00,Alachua,City,Ashley Mitchell
1545,Alliance Community for Retirement Living,Closed,127-UIULE-00,Volusia,Other,Hamza Sattar
4337,Alliance Community for Retirement Living,Active,127-UIULE-00,Volusia,Other,Hamza Sattar
1595,Alligator Point Volunteer Fire Department,Closed,037-UMV5P-00,Franklin,Critical Private Non-Profit,Rachel Langston
1595,Alligator Point Water Resources District,Closed,037-UXUSN-00,Franklin,Special District Government,Hamza Sattar
4068,Alligator Point Water Resources District,Closed,037-UXUSN-00,Franklin,Special District Government,Hamza Sattar
1539,"Alford, Town of",Closed,063-00625-00,Jackson,City,Ashley Mitchell
4280,Alligator Point Water Resources District,Closed,037-UXUSN-00,Franklin,Special District Government,Hamza Sattar
1551,"Alford, Town of",Closed,063-00625-00,Jackson,City,Ashley Mitchell
4399,Alligator Point Water Resources District,Active,037-UXUSN-00,Franklin,Special District Government,Hamza Sattar
1595,"Alford, Town of",Closed,063-00625-00,Jackson,City,Ashley Mitchell
4337,Alpha Charter of Excellence,Active,086-ULNAD-00,Miami-Dade,Non-Critical Private Non-Profit,John Hayth
1831,"Alford, Town of",Closed,063-00625-00,Jackson,City,Ashley Mitchell
4399,"Alford, Town of",Active,063-00625-00,Jackson,City,Ashley Mitchell
1545,All Saints Catholic Nursing Home,Closed,031-18825-00,Duval,Critical Private Non-Profit,Ashley Mitchell
1561,All Saints Catholic Nursing Home,Closed,031-18825-00,Duval,Critical Private Non-Profit,Ashley Mitchell
1551,"Community Action Program Committee, Inc.",Closed,033-00C58-00,Escambia,Other,Ashley Mitchell
1595,"Community Action Program Committee, Inc.",Closed,033-00C58-00,Escambia,Other,Ashley Mitchell
4486,Altoona School: A Public Charter School,Active,069-0D4EC-00,Lake,Other,Hamza Sattar
1539,Alva Fire Control And Rescue District,Closed,071-0C7D7-00,Lee,Special District Government,Rachel Langston
1545,Alva Fire Control And Rescue District,Closed,071-0C7D7-00,Lee,Special District Government,Rachel Langston
1609,Alva Fire Control And Rescue District,Closed,071-0C7D7-00,Lee,Special District Government,Rachel Langston
4673,Alva Fire Protection & Rescue District,Active,071-URLED-00,Lee,Special District Government,Rachel Langston
4673,"American legion of Southwest Florida Post 90, Inc",Closed,071-U49M8-00,Lee,Non-Critical Private Non-Profit,Haley Beary
1545,American Lung Association of Florida - Southeast Area,Closed,099-0FBA6-00,Palm Beach,Other,Rachel Langston
1561,American Lung Association of Florida - Southeast Area,Closed,099-0FBA6-00,Palm Beach,Other,Rachel Langston
4564,"Community Action Program Committee, Inc.",Active,033-00C58-00,Escambia,Other,Ashley Mitchell
3288,American Red Cross Greater Miami & the Keys,Closed,086-UTE4U-00,Statewide,Other,Rachel Langston
4283,Anastasia Mosquito Control District of St. Johns County,Closed,109-UXH08-00,St. Johns,Special District Government,Rachel Langston
4337,Anastasia Mosquito Control District of St. Johns County,Active,109-UXH08-00,St. Johns,Special District Government,Rachel Langston
4673,Anastasia Mosquito Control District of St. Johns County,Active,109-UXH08-00,St. Johns,Special District Government,Rachel Langston
4680,Anastasia Mosquito Control District of St. Johns County,Active,109-UXH08-00,St. Johns,Special District Government,Rachel Langston
4734,Anastasia Mosquito Control District of St. Johns County,Closed,109-UXH08-00,St. Johns,Special District Government,Rachel Langston
4399,Community Charter Academy,Active,005-UUGLV-00,Bay,Critical Private Non-Profit,Ashley Mitchell
4486,Andrea fernandez,Closed,095-USK3B-00,Statewide,Other,Rachel Langston
4337,Animal Rescue of LaBelle Inc.,Closed,051-UW7I7-00,Hendry,Non-Critical Private Non-Profit,Haley Beary
1539,"Ann Storck Center, Inc.",Closed,011-0218B-00,Broward,Other,John Hayth
1545,"Ann Storck Center, Inc.",Closed,011-0218B-00,Broward,Other,John Hayth
1561,"Ann Storck Center, Inc.",Closed,011-0218B-00,Broward,Other,John Hayth
4486,"Ann Storck Center, Inc.",Active,011-0218B-00,Broward,Other,John Hayth
1539,"Anna Maria, City of",Closed,081-01475-00,Manatee,City,Haley Beary
1545,"Anna Maria, City of",Closed,081-01475-00,Manatee,City,Haley Beary
1561,"Anna Maria, City of",Closed,081-01475-00,Manatee,City,Haley Beary
4337,"Anna Maria, City of",Active,081-01475-00,Manatee,City,Haley Beary
1785,American Red Cross - Northeast Florida Chapter,Closed,031-U1LFP-00,Duval,Other,Ashley Mitchell
4486,"Anna Maria, City of",Active,081-01475-00,Manatee,City,Haley Beary
4673,"Anna Maria, City of",Active,081-01475-00,Manatee,City,Haley Beary
4734,"Anna Maria, City of",Opening,081-01475-00,Manatee,City,Haley Beary
4337,Anointed Word Family Worship Center,Closed,095-ULCZ0-00,Orange,House of Worship,Haley Beary
1545,"Another Way, Inc.",Closed,075-0737F-00,Levy,Other,Haley Beary
1545,"Apalachicola, City Of",Closed,037-01625-00,Franklin,City,John Hayth
1551,"Apalachicola, City Of",Closed,037-01625-00,Franklin,City,John Hayth
1595,"Apalachicola, City Of",Closed,037-01625-00,Franklin,City,John Hayth
4068,"Apalachicola, City Of",Closed,037-01625-00,Franklin,City,John Hayth
4280,"Apalachicola, City Of",Closed,037-01625-00,Franklin,City,John Hayth
4399,"Apalachicola, City Of",Active,037-01625-00,Franklin,City,John Hayth
4486,"Apalachicola, City Of",Closed,037-01625-00,Franklin,City,John Hayth
4564,"Apalachicola, City Of",Active,037-01625-00,Franklin,City,John Hayth
3605,"Anna Maria, City of",Opening,081-01475-00,Manatee,City,Haley Beary
4806,"Anna Maria, City of",Opening,081-01475-00,Manatee,City,Haley Beary
4399,Apostolic Assembly Church,Active,063-UU2M3-00,Jackson,House of Worship,Hamza Sattar
3615,"Anna Maria, City of",Opening,081-01475-00,Manatee,City,Haley Beary
4734,"APOSTOLIC LIGHT CHURCH, INC.",Opening,123-UR8KI-00,Taylor,Other,Haley Beary
4828,"Anna Maria, City of",Opening,081-01475-00,Manatee,City,Haley Beary
4486,Community Charter Academy,Closed,005-UUGLV-00,Bay,Critical Private Non-Profit,Ashley Mitchell
4834,"Anna Maria, City of",Opening,081-01475-00,Manatee,City,Haley Beary
1551,Cordova Community Facilities Corporation,Closed,033-U4P2E-00,Escambia,Other,Ashley Mitchell
1595,Cordova Community Facilities Corporation,Closed,033-U4P2E-00,Escambia,Other,Ashley Mitchell
1551,"Council on Aging of West Florida, Inc.",Closed,033-UNPED-00,Escambia,Non-Critical Private Non-Profit,Ashley Mitchell
1551,Destin Water Users. Inc.,Closed,091-00E34-00,Okaloosa,Critical Private Non-Profit,Ashley Mitchell
1545,"ARC of Brevard, Inc",Closed,009-0E442-00,Brevard,Non-Critical Private Non-Profit,Haley Beary
4177,Destin Water Users. Inc.,Closed,091-00E34-00,Okaloosa,Critical Private Non-Profit,Ashley Mitchell
1539,"Arcadia, City of",Closed,027-01750-00,DeSoto,City,John Hayth
4828,"Apalachicola, City Of",Opening,037-01625-00,Franklin,City,John Hayth
1609,"Arcadia, City of",Closed,027-01750-00,DeSoto,City,John Hayth
4337,"Arcadia, City of",Active,027-01750-00,DeSoto,City,John Hayth
4673,"Arcadia, City of",Active,027-01750-00,DeSoto,City,John Hayth
1551,Diocese of Pensacola/Tallahassee,Closed,000-U9X8Z-00,Bay,Non-Critical Private Non-Profit,Ashley Mitchell
1545,"Archer, City of",Closed,001-01775-00,Alachua,City,Rachel Langston
1561,"Archer, City of",Closed,001-01775-00,Alachua,City,Rachel Langston
4337,"Archer, City of",Closed,001-01775-00,Alachua,City,Rachel Langston
4486,"Archer, City of",Active,001-01775-00,Alachua,City,Rachel Langston
4673,Arching Oaks Arts and Culture Center,Closed,069-UA5RI-00,Lake,Non-Critical Private Non-Profit,Haley Beary
4337,"Apostolic Worship Center Church, Inc.",Active,095-UZVN3-00,Orange,House of Worship,Ashley Mitchell
1545,"Archways, Inc.",Closed,011-UALSJ-00,Broward,Non-Critical Private Non-Profit,John Hayth
4673,"Apostolic Worship Center Church, Inc.",Opening,095-UZVN3-00,Orange,House of Worship,Ashley Mitchell
1602,"Archways, Inc.",Closed,011-UALSJ-00,Broward,Non-Critical Private Non-Profit,John Hayth
4337,Arapahoe Farms Homeowner's Association,Closed,011-U3DLL-00,Broward,PNP-Home Owners Association,Ashley Mitchell
1609,"Archways, Inc.",Closed,011-UALSJ-00,Broward,Non-Critical Private Non-Profit,John Hayth
4337,"Archways, Inc.",Active,011-UALSJ-00,Broward,Non-Critical Private Non-Profit,John Hayth
4486,"Archways, Inc.",Active,011-UALSJ-00,Broward,Non-Critical Private Non-Profit,John Hayth
1785,Area Agency on Aging Palm Beach Treasure Coast,Closed,111-UYHFM-00,St. Lucie,Other,Collin Kenline
4177,Area Housing Commission,Closed,033-0ED30-00,Escambia,Non-Critical Private Non-Profit,Hamza Sattar
4486,Area Housing Commission,Opening,033-0ED30-00,Escambia,Non-Critical Private Non-Profit,Hamza Sattar
4564,Area Housing Commission,Active,033-0ED30-00,Escambia,Non-Critical Private Non-Profit,Hamza Sattar
1609,"Areawide Housing for the Elderly of Broward, Inc.",Closed,011-UGQHE-00,Broward,Other,Haley Beary
4138,Diocese of Pensacola/Tallahassee,Closed,000-U9X8Z-00,Bay,Non-Critical Private Non-Profit,Ashley Mitchell
1551,Emerald Coast Housing I,Closed,091-UA0E7-00,Okaloosa,Other,Ashley Mitchell
4337,"Artis?Naples, Inc.",Active,021-UPDIA-00,Collier,Non-Critical Private Non-Profit,John Hayth
1539,"ARC/Desoto (Assoc. for Retarded Citiz. of DeSoto County, Inc.",Closed,027-UMVLL-00,DeSoto,Non-Critical Private Non-Profit,Ashley Mitchell
1551,Arts Council of Northwest Florida,Closed,033-UTBCA-00,Escambia,Special District Government,John Hayth
1539,Aspire Health Partners,Closed,095-UN2XU-00,Orange,Non-Critical Private Non-Profit,Hamza Sattar
1545,Aspire Health Partners,Closed,095-UN2XU-00,Orange,Non-Critical Private Non-Profit,Hamza Sattar
1561,Aspire Health Partners,Closed,095-UN2XU-00,Orange,Non-Critical Private Non-Profit,Hamza Sattar
4834,"Arcadia, City of",Opening,027-01750-00,DeSoto,City,John Hayth
4486,Aspire Health Partners,Opening,095-UEXK4-00,Orange,Non-Critical Private Non-Profit,Hamza Sattar
4673,Arcadia-DeSoto County Habitat for Humanity,Closed,027-UKFTB-00,DeSoto,Non-Critical Private Non-Profit,Ashley Mitchell
4673,Aspire Health Partners,Closed,095-UEXK4-00,Orange,Non-Critical Private Non-Profit,Hamza Sattar
1539,"Astatula, Town of",Closed,069-02250-00,Lake,City,Hamza Sattar
1545,"Astatula, Town of",Closed,069-02250-00,Lake,City,Hamza Sattar
1561,"Astatula, Town of",Closed,069-02250-00,Lake,City,Hamza Sattar
4828,"Archer, City of",Opening,001-01775-00,Alachua,City,Rachel Langston
4337,"Astatula, Town of",Active,069-02250-00,Lake,City,Hamza Sattar
4486,"Astatula, Town of",Opening,069-02250-00,Lake,City,Hamza Sattar
4673,"Astatula, Town of",Opening,069-02250-00,Lake,City,Hamza Sattar
1539,"Atlantic Beach, City of",Closed,031-02400-00,Duval,City,Haley Beary
1545,"Atlantic Beach, City of",Closed,031-02400-00,Duval,City,Haley Beary
1561,"Atlantic Beach, City of",Closed,031-02400-00,Duval,City,Haley Beary
1785,"Atlantic Beach, City of",Closed,031-02400-00,Duval,City,Haley Beary
4283,"Atlantic Beach, City of",Closed,031-02400-00,Duval,City,Haley Beary
4337,"Atlantic Beach, City of",Active,031-02400-00,Duval,City,Haley Beary
4468,"Atlantic Beach, City of",Active,031-02400-00,Duval,City,Haley Beary
4486,"Atlantic Beach, City of",Active,031-02400-00,Duval,City,Haley Beary
4673,"Atlantic Beach, City of",Active,031-02400-00,Duval,City,Haley Beary
4680,"Atlantic Beach, City of",Active,031-02400-00,Duval,City,Haley Beary
4486,ARLINGTON RIDGE CDD,Active,069-UEJRN-00,Lake,Special District Government,Ashley Mitchell
4734,"Atlantic Beach, City of",Opening,031-02400-00,Duval,City,Haley Beary
4834,ARLINGTON RIDGE CDD,Opening,069-UEJRN-00,Lake,Special District Government,Ashley Mitchell
1545,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
4283,Armand Beach Estates Homeowners Association County,Closed,035-U0NZJ-00,Flagler,PNP-Home Owners Association,Ashley Mitchell
1561,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
1609,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
3533,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
4283,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
4337,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
4468,"Atlantis, City Of",Closed,099-02500-00,Palm Beach,City,Rachel Langston
4486,"Atlantis, City Of",Active,099-02500-00,Palm Beach,City,Rachel Langston
4486,Auburn Water System Inc,Closed,091-1348B-00,Okaloosa,Critical Private Non-Profit,Hamza Sattar
4564,Auburn Water System Inc,Active,091-1348B-00,Okaloosa,Critical Private Non-Profit,Hamza Sattar
1539,"Auburndale, City of",Closed,105-02550-00,Polk,City,Hamza Sattar
1545,"Auburndale, City of",Closed,105-02550-00,Polk,City,Hamza Sattar
4834,Assembly Full Gospel Church of Tampa,Opening,,Hillsborough,Other,Collin Kenline
1561,"Auburndale, City of",Closed,105-02550-00,Polk,City,Hamza Sattar
4337,"Auburndale, City of",Active,105-02550-00,Polk,City,Hamza Sattar
4486,"Auburndale, City of",Closed,105-02550-00,Polk,City,Hamza Sattar
4673,"Auburndale, City of",Active,105-02550-00,Polk,City,Hamza Sattar
4680,"Auburndale, City of",Closed,105-02550-00,Polk,City,Hamza Sattar
4734,"Auburndale, City of",Opening,105-02550-00,Polk,City,Hamza Sattar
1551,Avalon Fire Rescue District,Closed,113-UUM3P-00,Santa Rosa,Special District Government,Rachel Langston
4564,Avalon Fire Rescue District,Active,113-UUM3P-00,Santa Rosa,Special District Government,Rachel Langston
4337,Ave Maria Stewardship Community District,Active,021-UYNUF-00,Collier,Special District Government,John Hayth
1545,"Aventura, City of",Closed,086-02681-00,Miami-Dade,City,John Hayth
1602,"Aventura, City of",Closed,086-02681-00,Miami-Dade,City,John Hayth
1609,"Aventura, City of",Closed,086-02681-00,Miami-Dade,City,John Hayth
3259,"Aventura, City of",Closed,086-02681-00,Miami-Dade,City,John Hayth
3288,"Aventura, City of",Closed,086-02681-00,Miami-Dade,City,John Hayth
4337,"Aventura, City of",Active,086-02681-00,Miami-Dade,City,John Hayth
4486,"Aventura, City of",Active,086-02681-00,Miami-Dade,City,John Hayth
4673,"Aventura, City of",Closed,086-02681-00,Miami-Dade,City,John Hayth
1539,Avon Park Housing Authority,Closed,055-USXJV-00,Highlands,Public / Indian Housing Authority,Haley Beary
1561,Avon Park Housing Authority,Closed,055-USXJV-00,Highlands,Public / Indian Housing Authority,Haley Beary
4828,"Atlantic Beach, City of",Opening,031-02400-00,Duval,City,Haley Beary
4486,"AYUDA, Inc.",Active,086-UJZDZ-00,Miami-Dade,Critical Private Non-Profit,John Hayth
