Grant #,Applicant Name,Account Status,FIPS #,County,Classification,PR
1561,Health Care District of Palm Beach County,Closed,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
1609,Health Care District of Palm Beach County,Closed,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
3533,Health Care District of Palm Beach County,Active,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
4337,Health Care District of Palm Beach County,Active,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
4468,Health Care District of Palm Beach County,Active,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
4486,Health Care District of Palm Beach County,Closed,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
4680,Health Care District of Palm Beach County,Active,099-UUIRD-00,Palm Beach,Special District Government,Collin Kenline
1539,"Health First, Inc.",Closed,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
1545,"Health First, Inc.",Closed,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
1561,"Health First, Inc.",Closed,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4283,"Health First, Inc.",Active,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4337,"Health First, Inc.",Active,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4834,"Golden Beach, Town of",Opening,086-26250-00,Miami-Dade,City,Haley Beary
4468,"Health First, Inc.",Opening,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4486,"Health First, Inc.",Opening,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4673,"Health First, Inc.",Opening,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4680,"Health First, Inc.",Opening,009-UTJDJ-00,Brevard,Critical Private Non-Profit,Hamza Sattar
4486,"Heart Of Africa Evangelistic Ministries,Inc",Closed,057-UMHIT-00,Hillsborough,House of Worship,Haley Beary
4486,"Heart of Florida Health Center, Inc.",Active,083-URLWP-00,Marion,Critical Private Non-Profit,Haley Beary
4673,Heart of Florida United Way,Closed,095-UIMQA-00,Orange,Non-Critical Private Non-Profit,Haley Beary
4673,Heartland Haven Foundation,Active,095-U1W7N-00,Orange,Non-Critical Private Non-Profit,Haley Beary
1545,Heathcote Botanical Gardens,Closed,111-UNSHR-00,St. Lucie,Other,Rachel Langston
4337,Golfside of Lee Condominium Association,Closed,071-UTHLS-00,Lee,PNP-Home Owners Association,Ashley Mitchell
1609,"Helen B. Bentley Family Health Center, Inc.",Closed,086-UD3S9-00,Miami-Dade,Other,Collin Kenline
1539,"Help Now of Osceola, Inc.",Closed,097-UKF4O-00,Osceola,Non-Critical Private Non-Profit,Haley Beary
1539,Good Samaritan Village at Kissimmee,Closed,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
1545,Good Samaritan Village at Kissimmee,Closed,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
1561,Good Samaritan Village at Kissimmee,Closed,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
4283,Good Samaritan Village at Kissimmee,Closed,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
4337,Good Samaritan Village at Kissimmee,Closed,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
4486,Good Samaritan Village at Kissimmee,Active,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
4673,Good Samaritan Village at Kissimmee,Opening,097-URSZ6-00,Osceola,Non-Critical Private Non-Profit,Ashley Mitchell
1545,Hendry County Hospital Authority,Closed,051-UZ75R-00,Hendry,County Hospital,Collin Kenline
1561,Hendry County Hospital Authority,Closed,051-UZ75R-00,Hendry,County Hospital,Collin Kenline
1609,Hendry County Hospital Authority,Closed,051-UZ75R-00,Hendry,County Hospital,Collin Kenline
1785,Hendry County Hospital Authority,Closed,051-UZ75R-00,Hendry,County Hospital,Collin Kenline
4337,Hendry County Hospital Authority,Closed,051-UZ75R-00,Hendry,County Hospital,Collin Kenline
4486,Hendry County Hospital Authority,Opening,051-UZ75R-00,Hendry,County Hospital,Collin Kenline
4337,Grace Episcopal Day School,Closed,019-U3RT9-00,Clay,Other,Ashley Mitchell
4834,"GRACE EVANGELICAL LUTHERAN CHURCH, INCORPORATED",Opening,,Pinellas,Other,Ashley Mitchell
1539,Hendry County Sheriff's Office,Closed,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
1545,Hendry County Sheriff's Office,Closed,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
1561,Hendry County Sheriff's Office,Closed,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
1609,Hendry County Sheriff's Office,Closed,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
1785,Hendry County Sheriff's Office,Closed,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
4337,Hendry County Sheriff's Office,Active,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
4673,Hendry County Sheriff's Office,Active,051-0BBAF-00,Hendry,County Sheriff,Rachel Langston
4337,Heritage Bay Community Development District,Active,021-UAQL3-00,Collier,Special District Government,Collin Kenline
1539,Grand Avenue Economic Community Development Corp.,Closed,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
4337,Heritage Greens Community Development District,Closed,071-UN2PY-00,Collier,Special District Government,Haley Beary
1545,Grand Avenue Economic Community Development Corp.,Closed,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
1561,Grand Avenue Economic Community Development Corp.,Closed,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
4337,Heritage Lake Park Community Development District,Closed,015-UTWZ9-00,Charlotte,Special District Government,Collin Kenline
4337,Grand Avenue Economic Community Development Corp.,Closed,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
4673,Heritage Lake Park Community Development District,Active,015-UTWZ9-00,Charlotte,Special District Government,Collin Kenline
4486,Grand Avenue Economic Community Development Corp.,Active,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
4673,Heritage Oak Park Community Development District,Active,015-UQ5SM-00,Charlotte,Special District Government,Collin Kenline
4673,Grand Avenue Economic Community Development Corp.,Active,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
4337,Heritage Palms Community Development District,Active,071-UDO41-00,Lee,Special District Government,John Hayth
4680,Grand Avenue Economic Community Development Corp.,Closed,095-UZM7Y-00,Orange,Non-Critical Private Non-Profit,Ashley Mitchell
4673,Heritage Palms Community Development District,Active,071-UDO41-00,Lee,Special District Government,John Hayth
4734,"Hernando Beach Marine Group, Inc",Opening,053-U95EP-00,Hernando,Other,Hamza Sattar
1539,Hernando County,Closed,053-99053-00,Hernando,County,Collin Kenline
1545,Hernando County,Closed,053-99053-00,Hernando,County,Collin Kenline
1561,Hernando County,Closed,053-99053-00,Hernando,County,Collin Kenline
3288,Hernando County,Closed,053-99053-00,Hernando,County,Collin Kenline
3561,Hernando County,Closed,053-99053-00,Hernando,County,Collin Kenline
4068,Hernando County,Closed,053-99053-00,Hernando,County,Collin Kenline
4280,Hernando County,Active,053-99053-00,Hernando,County,Collin Kenline
4337,Hernando County,Active,053-99053-00,Hernando,County,Collin Kenline
4486,Hernando County,Active,053-99053-00,Hernando,County,Collin Kenline
4673,Hernando County,Active,053-99053-00,Hernando,County,Collin Kenline
4734,Hernando County,Opening,053-99053-00,Hernando,County,Collin Kenline
4486,Hernando County Fire Rescue,Closed,053-UDPY1-00,Hernando,Special District Government,Rachel Langston
1539,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
1545,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
1561,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
1785,Gray Gables NassauVillage V.F.D. St.8,Closed,089-UD5IT-00,Nassau,Other,Ashley Mitchell
4068,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
4280,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
4337,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
4486,Hernando County School Board,Closed,053-0EF39-00,Hernando,Public School District,Collin Kenline
4486,Hernando County Sheriff's Office,Closed,053-09E1C-00,Hernando,County Sheriff,Rachel Langston
4673,Hernando County Sheriff's Office,Active,053-09E1C-00,Hernando,County Sheriff,Rachel Langston
4734,Hernando County Sheriff's Office,Opening,053-09E1C-00,Hernando,County Sheriff,Rachel Langston
1539,Herons Glen Recreation District,Closed,071-ULOXT-00,Lee,Special District Government,Haley Beary
4673,Herons Glen Recreation District,Closed,071-ULOXT-00,Lee,Special District Government,Haley Beary
4337,"Hershorin Schiff Day Schools of Tomorrow, Inc.",Closed,115-UGOYW-00,Sarasota,Non-Critical Private Non-Profit,Collin Kenline
4673,"Hershorin Schiff Day Schools of Tomorrow, Inc.",Active,115-UGOYW-00,Sarasota,Non-Critical Private Non-Profit,Collin Kenline
4834,Greater Mount Olive AME Church,Opening,,Sumter,Other,Rachel Langston
1539,"Hialeah Gardens, City of",Closed,086-30025-00,Miami-Dade,City,Hamza Sattar
1545,"Hialeah Gardens, City of",Closed,086-30025-00,Miami-Dade,City,Hamza Sattar
1602,"Hialeah Gardens, City of",Closed,086-30025-00,Miami-Dade,City,Hamza Sattar
1609,"Hialeah Gardens, City of",Closed,086-30025-00,Miami-Dade,City,Hamza Sattar
3259,"Hialeah Gardens, City of",Closed,086-30025-00,Miami-Dade,City,Hamza Sattar
4337,"Hialeah Gardens, City of",Active,086-30025-00,Miami-Dade,City,Hamza Sattar
4828,Greater Naples Fire Rescue District,Opening,021-UKTNK-00,Collier,Special District Government,Rachel Langston
4486,"Hialeah Gardens, City of",Active,086-30025-00,Miami-Dade,City,Hamza Sattar
4834,Greater Naples Fire Rescue District,Opening,021-UKTNK-00,Collier,Special District Government,Rachel Langston
1609,Hialeah Housing Authority,Closed,086-UFXAV-00,Miami-Dade,Public / Indian Housing Authority,Haley Beary
1539,Greater Orlando Aviation Authority,Closed,095-UMGBM-00,Orange,Special District Government,Ashley Mitchell
4337,Hialeah Housing Authority,Active,086-UFXAV-00,Miami-Dade,Public / Indian Housing Authority,Haley Beary
1545,Greater Orlando Aviation Authority,Closed,095-UMGBM-00,Orange,Special District Government,Ashley Mitchell
4486,Hialeah Housing Authority,Closed,086-UFXAV-00,Miami-Dade,Public / Indian Housing Authority,Haley Beary
1561,Greater Orlando Aviation Authority,Closed,095-UMGBM-00,Orange,Special District Government,Ashley Mitchell
1545,"Hialeah, City of",Closed,086-30000-00,Miami-Dade,City,Collin Kenline
4283,Greater Orlando Aviation Authority,Opening,095-UMGBM-00,Orange,Special District Government,Ashley Mitchell
1602,"Hialeah, City of",Closed,086-30000-00,Miami-Dade,City,Collin Kenline
4337,Greater Orlando Aviation Authority,Active,095-UMGBM-00,Orange,Special District Government,Ashley Mitchell
1609,"Hialeah, City of",Closed,086-30000-00,Miami-Dade,City,Collin Kenline
4673,Greater Orlando Aviation Authority,Opening,095-UMGBM-00,Orange,Special District Government,Ashley Mitchell
3259,"Hialeah, City of",Closed,086-30000-00,Miami-Dade,City,Collin Kenline
3288,"Hialeah, City of",Closed,086-30000-00,Miami-Dade,City,Collin Kenline
4337,"Hialeah, City of",Active,086-30000-00,Miami-Dade,City,Collin Kenline
4486,"Hialeah, City of",Active,086-30000-00,Miami-Dade,City,Collin Kenline
4673,"Hialeah, City of",Active,086-30000-00,Miami-Dade,City,Collin Kenline
4834,"Greater Pine Island Water Association, Inc.",Opening,071-0EBCB-00,Lee,Critical Private Non-Profit,Hamza Sattar
1545,"Hibiscus Children's Center, Inc",Closed,085-UT0PE-00,Martin,Non-Critical Private Non-Profit,Collin Kenline
1561,"Hibiscus Children's Center, Inc",Closed,085-UT0PE-00,Martin,Non-Critical Private Non-Profit,Collin Kenline
4283,"Hibiscus Children's Center, Inc",Active,085-UT0PE-00,Martin,Non-Critical Private Non-Profit,Collin Kenline
4337,"Hibiscus Children's Center, Inc",Active,085-UT0PE-00,Martin,Non-Critical Private Non-Profit,Collin Kenline
4486,"Hibiscus Children's Center, Inc",Active,085-UT0PE-00,Martin,Non-Critical Private Non-Profit,Collin Kenline
1785,Hideaway Beach District Board,Closed,021-UFTLD-00,Collier,Other,Haley Beary
1545,"Highland Beach, Town of",Closed,099-30200-00,Palm Beach,City,Rachel Langston
3605,"Green Cove Springs, City of",Opening,019-27400-00,Clay,City,Rachel Langston
1561,"Highland Beach, Town of",Closed,099-30200-00,Palm Beach,City,Rachel Langston
4806,"Green Cove Springs, City of",Opening,019-27400-00,Clay,City,Rachel Langston
1609,"Highland Beach, Town of",Closed,099-30200-00,Palm Beach,City,Rachel Langston
4283,"Highland Beach, Town of",Closed,099-30200-00,Palm Beach,City,Rachel Langston
4337,"Highland Beach, Town of",Closed,099-30200-00,Palm Beach,City,Rachel Langston
4468,"Highland Beach, Town of",Active,099-30200-00,Palm Beach,City,Rachel Langston
1539,"Highland Park, Village of",Closed,105-30325-00,Polk,City,John Hayth
1545,"Highland Park, Village of",Closed,105-30325-00,Polk,City,John Hayth
1561,"Highland Park, Village of",Closed,105-30325-00,Polk,City,John Hayth
1539,Highlands County,Closed,055-99055-00,Highlands,County,Rachel Langston
1545,Highlands County,Closed,055-99055-00,Highlands,County,Rachel Langston
1561,Highlands County,Closed,055-99055-00,Highlands,County,Rachel Langston
1609,Highlands County,Closed,055-99055-00,Highlands,County,Rachel Langston
1785,Highlands County,Closed,055-99055-00,Highlands,County,Rachel Langston
4806,"Greenville, Town of",Opening,079-27575-00,Madison,City,Ashley Mitchell
4337,Highlands County,Active,055-99055-00,Highlands,County,Rachel Langston
4486,Highlands County,Active,055-99055-00,Highlands,County,Rachel Langston
4673,Highlands County,Active,055-99055-00,Highlands,County,Rachel Langston
4680,Highlands County,Closed,055-99055-00,Highlands,County,Rachel Langston
1539,Highlands County School Board,Closed,055-166E7-00,Highlands,Public School District,Rachel Langston
1545,Highlands County School Board,Closed,055-166E7-00,Highlands,Public School District,Rachel Langston
1561,Highlands County School Board,Closed,055-166E7-00,Highlands,Public School District,Rachel Langston
1609,Highlands County School Board,Closed,055-166E7-00,Highlands,Public School District,Rachel Langston
4337,Highlands County School Board,Active,055-166E7-00,Highlands,Public School District,Rachel Langston
4828,"Gretna, City of",Opening,039-27650-00,Gadsden,City,Rachel Langston
4673,Highlands County School Board,Active,055-166E7-00,Highlands,Public School District,Rachel Langston
1539,Highlands County Sheriff's Office,Closed,055-07176-00,Highlands,County Sheriff,Rachel Langston
1545,Highlands County Sheriff's Office,Closed,055-07176-00,Highlands,County Sheriff,Rachel Langston
1561,Highlands County Sheriff's Office,Closed,055-07176-00,Highlands,County Sheriff,Rachel Langston
1609,Highlands County Sheriff's Office,Closed,055-07176-00,Highlands,County Sheriff,Rachel Langston
1785,Highlands County Sheriff's Office,Closed,055-07176-00,Highlands,County Sheriff,Rachel Langston
4337,Highlands County Sheriff's Office,Active,055-07176-00,Highlands,County Sheriff,Rachel Langston
4399,Highlands County Sheriff's Office,Closed,055-07176-00,Highlands,County Sheriff,Rachel Langston
4486,Highlands County Sheriff's Office,Active,055-07176-00,Highlands,County Sheriff,Rachel Langston
4673,Highlands County Sheriff's Office,Active,055-07176-00,Highlands,County Sheriff,Rachel Langston
4337,"Groves Rehabilitation Center, LLC",Closed,105-U50BG-00,Polk,Other,Ashley Mitchell
4399,Hiland Park Assembly of God,Closed,005-U169O-00,Bay,House of Worship,Haley Beary
4486,Growing Together Behavioral Center,Closed,031-UW67D-00,Duval,Critical Private Non-Profit,Ashley Mitchell
4399,Hiland Park United Methodist Church,Active,005-0F179-00,Bay,House of Worship,Hamza Sattar
4399,Hiland Park United Pentecostal Church,Active,005-UPIZK-00,Bay,House of Worship,Hamza Sattar
1539,"Hillcrest Heights, Town of",Closed,105-30700-00,Polk,City,Rachel Langston
1561,"Hillcrest Heights, Town of",Closed,105-30700-00,Polk,City,Rachel Langston
1539,"Hilliard, Town of",Closed,089-30750-00,Nassau,City,John Hayth
1545,"Hilliard, Town of",Closed,089-30750-00,Nassau,City,John Hayth
1561,"Hilliard, Town of",Closed,089-30750-00,Nassau,City,John Hayth
1785,"Hilliard, Town of",Closed,089-30750-00,Nassau,City,John Hayth
4283,"Hilliard, Town of",Closed,089-30750-00,Nassau,City,John Hayth
4337,"Hilliard, Town of",Active,089-30750-00,Nassau,City,John Hayth
4673,"Hilliard, Town of",Closed,089-30750-00,Nassau,City,John Hayth
1539,Hillsborough Area Regional Transit,Closed,057-UZ46K-00,Hillsborough,Special District Government,Haley Beary
1545,Hillsborough Area Regional Transit,Closed,057-UZ46K-00,Hillsborough,Special District Government,Haley Beary
1561,Hillsborough Area Regional Transit,Closed,057-UZ46K-00,Hillsborough,Special District Government,Haley Beary
4337,Hillsborough Area Regional Transit,Closed,057-UZ46K-00,Hillsborough,Special District Government,Haley Beary
4734,Hillsborough Area Regional Transit,Opening,057-UZ46K-00,Hillsborough,Special District Government,Haley Beary
1539,Hillsborough Community College,Closed,057-11688-00,Statewide,Public Community College,John Hayth
1545,Hillsborough Community College,Closed,057-11688-00,Statewide,Public Community College,John Hayth
1561,Hillsborough Community College,Closed,057-11688-00,Statewide,Public Community College,John Hayth
4337,Hillsborough Community College,Active,057-11688-00,Statewide,Public Community College,John Hayth
4486,Hillsborough Community College,Opening,057-11688-00,Statewide,Public Community College,John Hayth
4673,Hillsborough Community College,Opening,057-11688-00,Statewide,Public Community College,John Hayth
1539,Hillsborough County,Closed,057-99057-00,Hillsborough,County,Rachel Langston
1545,Hillsborough County,Closed,057-99057-00,Hillsborough,County,Rachel Langston
1561,Hillsborough County,Closed,057-99057-00,Hillsborough,County,Rachel Langston
3288,Hillsborough County,Closed,057-99057-00,Hillsborough,County,Rachel Langston
3551,Hillsborough County,Active,057-99057-00,Hillsborough,County,Rachel Langston
3561,Hillsborough County,Active,057-99057-00,Hillsborough,County,Rachel Langston
4337,Hillsborough County,Active,057-99057-00,Hillsborough,County,Rachel Langston
4486,Hillsborough County,Active,057-99057-00,Hillsborough,County,Rachel Langston
4673,Hillsborough County,Opening,057-99057-00,Hillsborough,County,Rachel Langston
4680,Hillsborough County,Opening,057-99057-00,Hillsborough,County,Rachel Langston
4734,Hillsborough County,Opening,057-99057-00,Hillsborough,County,Rachel Langston
1539,Hillsborough County Aviation Authority,Closed,057-UX3WS-00,Hillsborough,Special District Government,Haley Beary
1545,Hillsborough County Aviation Authority,Closed,057-UX3WS-00,Hillsborough,Special District Government,Haley Beary
1561,Hillsborough County Aviation Authority,Closed,057-UX3WS-00,Hillsborough,Special District Government,Haley Beary
4337,Hillsborough County Aviation Authority,Closed,057-UX3WS-00,Hillsborough,Special District Government,Haley Beary
4337,Hillsborough County Clerk of Circuit Court,Closed,057-15CF9-00,Hillsborough,County,Rachel Langston
1539,Hillsborough County Property Appraiser,Closed,057-08C40-00,Hillsborough,County,Rachel Langston
1545,Hillsborough County Property Appraiser,Closed,057-08C40-00,Hillsborough,County,Rachel Langston
1561,Hillsborough County Property Appraiser,Closed,057-08C40-00,Hillsborough,County,Rachel Langston
4337,Hillsborough County Property Appraiser,Closed,057-08C40-00,Hillsborough,County,Rachel Langston
4673,Hillsborough County Public Schools,Active,057-UL3AQ-00,Hillsborough,Public School District,Rachel Langston
1539,Hillsborough County School Board,Closed,057-04978-00,Hillsborough,Public School District,Rachel Langston
1545,Hillsborough County School Board,Closed,057-04978-00,Hillsborough,Public School District,Rachel Langston
1561,Hillsborough County School Board,Closed,057-04978-00,Hillsborough,Public School District,Rachel Langston
3288,Hillsborough County School Board,Closed,057-04978-00,Hillsborough,Public School District,Rachel Langston
4337,Hillsborough County School Board,Active,057-04978-00,Hillsborough,Public School District,Rachel Langston
4486,Hillsborough County School Board,Closed,057-04978-00,Hillsborough,Public School District,Rachel Langston
1539,Hillsborough Sheriff's Office,Closed,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
1545,Hillsborough Sheriff's Office,Closed,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
1561,Hillsborough Sheriff's Office,Closed,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
4337,Hillsborough Sheriff's Office,Active,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
4486,Hillsborough Sheriff's Office,Active,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
4828,Gulf Harbors Yacht Club,Opening,,Pasco,Other,Collin Kenline
4673,Hillsborough Sheriff's Office,Active,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
4734,Hillsborough Sheriff's Office,Opening,057-11664-00,Hillsborough,County Sheriff,Rachel Langston
4486,hillwireless,Closed,105-UKFVO-00,Statewide,Other,Rachel Langston
4283,Historic New Bethel A.M.E.CHURCH,Closed,,Volusia,House of Worship,Haley Beary
4399,Historic St. Andrews Waterfront Partnership,Closed,005-U7GWH-00,Bay,Non-Critical Private Non-Profit,Hamza Sattar
1545,"Gulf Stream, Town of",Closed,099-28275-00,Palm Beach,City,Ashley Mitchell
1545,Historical Society of Martin County,Closed,085-UUNBZ-00,Martin,Other,Rachel Langston
1561,"Gulf Stream, Town of",Closed,099-28275-00,Palm Beach,City,Ashley Mitchell
4337,Historical Society of Martin County,Closed,085-UUNBZ-00,Martin,Other,Rachel Langston
